Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_equal_2,maternal,clone8,chisel_5x,0.5187951639799889,0.2113128507108479,0.7491228070175439,0.11504424778761062,0.23214285714285715,0.15384615384615385,0.025862275019719383,0.25087719298245614,0.8054474708171206,0.11504424778761062,0.9059080962800875
CN_equal_2,maternal,clone9,chisel_5x,0.49447546076759563,0.2429482314119369,0.6877192982456141,0.14960629921259844,0.21348314606741572,0.17592592592592593,-0.009411624251348005,0.312280701754386,0.7754677754677755,0.14960629921259844,0.8419864559819413
CN_equal_2,paternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_2,paternal,clone1,chisel_5x,0.507311320754717,0.11281328320802006,0.8789473684210526,0.08571428571428572,0.075,0.08,0.015519399249061316,0.12105263157894737,0.939622641509434,0.08571428571428572,0.930841121495327
CN_equal_2,paternal,clone2,chisel_5x,0.48148148148148145,0.07513611615245008,0.8526315789473684,0.034482758620689655,0.06666666666666667,0.045454545454545456,-0.0257069408740358,0.14736842105263157,0.8962962962962963,0.034482758620689655,0.9453125
CN_equal_2,paternal,clone3,chisel_5x,0.5030769230769231,0.11961516694963213,0.868421052631579,0.0967741935483871,0.06,0.07407407407407407,0.0074297654980265415,0.13157894736842105,0.9461538461538461,0.0967741935483871,0.9128014842300557
CN_equal_2,paternal,clone4,chisel_5x,0.5128861429832303,0.17841905901116428,0.7947368421052632,0.1125,0.16363636363636364,0.13333333333333333,0.021423330887747505,0.20526315789473684,0.8621359223300971,0.1125,0.9061224489795918
CN_equal_2,paternal,clone5,chisel_5x,0.5009398496240601,0.18969739785705875,0.7070175438596491,0.06711409395973154,0.2631578947368421,0.10695187165775401,0.0007977662544875752,0.2929824561403509,0.7387218045112782,0.06711409395973154,0.9334916864608076
CN_equal_2,paternal,clone6,chisel_5x,0.5330769230769231,0.2046500867553499,0.7912280701754386,0.12087912087912088,0.22,0.15602836879432624,0.0482671530798372,0.20877192982456141,0.8461538461538461,0.12087912087912088,0.918580375782881
CN_equal_2,paternal,clone7,chisel_5x,0.4703594884203249,0.10463865029495975,0.7912280701754386,0.04819277108433735,0.09090909090909091,0.06299212598425197,-0.04215960421596043,0.20877192982456141,0.8498098859315589,0.04819277108433735,0.917864476386037
CN_equal_2,paternal,clone8,chisel_5x,0.49068627450980395,0.15087719298245614,0.7859649122807018,0.09210526315789473,0.11666666666666667,0.10294117647058823,-0.016666666666666607,0.21403508771929824,0.8647058823529412,0.09210526315789473,0.8927125506072875
CN_equal_2,paternal,clone9,chisel_5x,0.48830409356725146,0.1901913875598086,0.7105263157894737,0.09090909090909091,0.21052631578947367,0.12698412698412698,-0.014760147601476037,0.2894736842105263,0.7660818713450293,0.09090909090909091,0.8972602739726028
CN_equal_3,maternal,normal,chisel_5x,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_3,maternal,clone1,chisel_5x,0.5467938636835702,0.2562058130400628,0.8508771929824561,0.2631578947368421,0.14925373134328357,0.19047619047619047,0.11519777931991682,0.14912280701754385,0.9443339960238568,0.2631578947368421,0.8928571428571429
CN_equal_3,maternal,clone2,chisel_5x,0.49170537491705374,0.05543403964456596,0.9035087719298246,0.02857142857142857,0.045454545454545456,0.03508771929824561,-0.012924071082390798,0.09649122807017543,0.9379562043795621,0.02857142857142857,0.9607476635514018
CN_equal_3,maternal,clone3,chisel_5x,0.5227470298464213,0.22254364725372755,0.8,0.1864406779661017,0.14285714285714285,0.16176470588235295,0.05047198760849869,0.2,0.9026369168356998,0.1864406779661017,0.8708414872798435
CN_equal_3,maternal,clone4,chisel_5x,0.5358818011257036,0.2503615525610813,0.7947368421052632,0.208955223880597,0.1794871794871795,0.19310344827586207,0.07629020194465219,0.20526315789473684,0.8922764227642277,0.208955223880597,0.8727634194831014
CN_equal_3,maternal,clone5,chisel_5x,0.4951175250604908,0.10414673046251995,0.856140350877193,0.06818181818181818,0.06818181818181818,0.06818181818181818,-0.009764949879018214,0.14385964912280702,0.9220532319391636,0.06818181818181818,0.9220532319391636
CN_equal_3,maternal,clone6,chisel_5x,0.5083297117195422,0.11289762868710237,0.8807017543859649,0.08571428571428572,0.07692307692307693,0.08108108108108109,0.017490494296577896,0.11929824561403508,0.9397363465160076,0.08571428571428572,0.9327102803738317
